Response_ID,TS,Time_Taken,Q3,Q3_O,Q4,Q5,Q6,Q7,Q8A1,Q8A2,Q8A3,Q8A4,Q8A5,Q8A6,Q8A7,Q8A8,Q8A9,Q8_O,Q9R1,Q9R2,Q9R3,Q9R4,Q9R5,Q10R1,Q10R2,Q10R3,Q10R4,Q10R5,Q11,Q12,Q13,Q14,Q15,Q16,Q17
1608648993,12/13/2020 20:20:33,329,Service provider,,MULTIPLE,More than 3 years,"The CSW helps to mobilize community residents, develop leadership, address social issues in south Calgary.","I find her understanding of the communities, assessments, and knowledge of the local groups very valuable.",Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,No, ,More than 2 years,Yes, ,Very Satisfied, 
1608648167,12/11/2020 00:40:36,99,Service provider,,MULTIPLE,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608648364,12/11/2020 10:38:53,57,Church,,ALB,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608648359,12/11/2020 10:30:39,334,Service provider,,BNK,More than 3 years,To connect the community - help bridge gaps - help provide resource for the community,I think all neighborhoods need a CSW. It shouldn’t be based on the income/ need in the community,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Disagree,No, ,More than 2 years,Yes,It’s about creating sustainable change in an area - if this is kept up and there is buy in it can be long term,Dissatisfied,I have met with the CSW for my area maybe once. I have tried connecting with her and either she doesn’t reply or replies weeks later. I would love to connect more with the CSW to help share resources within the community but it seems her focus is not on the BNK area
1608687882,12/31/2020 15:13:49,319,City of Calgary Business Unit,,MULTIPLE,More than 3 years,Connecting people and building resource networks in the community,Great value. Especially for newcomers who may not have family or friends in the city.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,No, ,More than 2 years,Yes,The formal and informal networks continue to strengthen the community and are shared with other communities when people involved move on.,Very Satisfied, 
1608687615,12/29/2020 19:08:34,417,Community Association,,BLN,6 months to under a year,"Alerting us to community issues, providing links to resources the City provides, attending monthly community association meetings, attending ideation sessions for recreation opportunities",She provides valuable insight about issues affecting lower-income community residents—something that our board appreciates. Also glad she can highlight resources the community association can tap into.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Agree,Agree,Agree,Agree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Agree,Agree,No, ,More than 2 years,Yes, ,Satisfied, 
1608667703,12/17/2020 01:42:49,1364,Other,Non Profit Community Centre,BLN,More than 3 years,"The CSW connects residents and resident groups through facilitating program opportunities, convenes residents around service needs, supports neighborhood champions in their own initiatives, does a great deal of outreach with service providers and community activities. CommunityWise also connects a great deal with our CSW as it relates to Calgary Neighbourhoods hub initiatives. Our CSW  seeks to engage with us and our membership base in important needs of often marginalized communities in the neighbourhood.","Our CSW is amazing. Having someone with deep roots in the neighbourhood and the capacity to navigate the different sectors (government, non-profit) is really important. Several projects at our centre since she started would not have been done or done as well as they had been without her support. I know this year has been really hard to keep people engaged but she can be quite creative. Our CWS participates and attends our events and several of our members at the centre in pre covid times and is always there to connect and hear people out. Sometimes when we are undertaking certain approaches having her insights have in the past been invaluable in checking our assumptions of the neighbourhood and confirming or denying certain expectations of program outcomes.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , , , ,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes, ,Satisfied,"From the bottom of our hearts, I wish that our CSW, indeed all of Calgary Neighborhoods, was funded more greatly.We too have limited capacity and resources to put into the relationship but what has come out of it has been great.We have worked with several CSW over the years and hope to maintain this relationship going forward."
1608648104,12/10/2020 20:28:12,1715,School, ,BLN,1 to 3 years,Very helpful and resourceful,Different kinds of supports to our families. Either respond directly to a request or direct us to the appropriate resourse.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , , , ,Support a specific initiative identified by the CSW, , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,They help families facing challenges and socioeconomic barriers by providing support and resources. These efforts enable community development in the long-term by improving the quality of life to those they support.,Very Satisfied,knowing that there is someone we can rely on for supporting our families is a huge relief.
1608648920,12/13/2020 13:06:49,437,Church, ,BLN,1 to 3 years,The CSW supports the outreach efforts of our team at Grace Church.  She has assisted with making community connections that will assist us in achieving our goals.,"Knowledge of community, expertise",Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Agree,Agree,Agree,Agree,Agree,Do Not Agree or Disagree,Agree,Agree,Do Not Agree or Disagree,Agree,No, ,More than 2 years,Yes, ,Satisfied,"We have had positive interactions with the CSW, but not in recent months.  It would be good if this could increase going forward."
1608666713,12/16/2020 09:06:53,1229,Church, ,BLN,1 to 3 years,The CSW is an intersection between the community and the stakeholders in the community.,"An enormous amount of value as she is the bridge between those needing care and those providing  care, Her role ensures no one slips through the cracks and helps with community development and relationships within the community at large",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,There are a number of seniors who are experiencing isolation and therefore needing pastoral  and financial support. . We have been able to do both. I think that the biggest role of the worker is relational to the community. This is work that is incremental and takes time. I have valued the connection I have with our CSW.,More than 2 years,Yes,Not everyone is known to our church and we cannot know all who may need help beyond the immediate vicinity in our building. The CSW has also shared our programs with the community.,Very Satisfied,I think given the social and economic mix of our community I am very appreciative of the extra set of eyes and ears we have within our community to provide care. In the post COVID days I will be appreciative as we rebuild these programs and the CSW is able to provide a good resources and helps build collaboration between community and the stakeholders.
1608648263,12/11/2020 08:39:49,356,Service provider, ,MULTIPLE,More than 3 years,CSWs help in a vast array of areas.  They learn about the needs of residents in the community and help connect residents with available resources. and SO MUCH MORE.,"Community connection, community enhancement, partnership with a variety of resources, and more.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives, ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes, ,Very Satisfied, 
1608648363,12/11/2020 10:35:06,697,Service provider, ,BRD,1 to 3 years,Her role is to support the residents in BRD whether it be advocating for them and helping them find resources or helping them plan and organize programs and events that increase community belonging and decrease isolation.,She connects with the residents and helps them achieve their goals and ideas. She also supports the community agencies in the area in helping give the best care to the residents.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , ,"Provide resources (funding, space, etc.) for local initiativ",Provide services, , , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"the CSW and I worked to create a parenting group in the BRD Place building where our office works out of. We virtually meet with tenants and residents to offer resources, learn skills and decrease the isolation that has been brought on by COVID 19.",Unsure/Not Applicable,Yes,"many of the residents that work with the CSW gain skills that they may not have had before - financial, social and knowledge that will continue to help them in the future.",Very Satisfied,Our CSW is very passionate about the residents she works with and it leads to great relationships and programs in BRD
1608687396,12/28/2020 16:47:34,69,Advocacy group, ,BRD,Less than 6 months, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608689380,01/04/2021 13:42:06,1239,Service provider, ,BRD,1 to 3 years,"Connecting, coordinating, needs identification and bringing resources together for solution building to gaps, connecting to city and other potential resources, info sharing,partnership broker/facilitator, advocate for the neighborhood","BRD/Riverside has a number of varied issues, and has difficulty bringing together disparate groups within the community.  Life stresses inhibit the collective ability to organize together.  (tough economic situations, language/cultural barriers, petty crime and vandalism, gentrification, aging and disability issues, plus a strange divide of residential and institutional residence)  The CSW worker provides a central resoiurce to discover, catalogue and connect all the elements that would not otherwise exist - valuable info sharing, bringing together of different groups who would not otherwise interact, benefit of experience and City resources to add to our nieghborhood development.  Food security issues, child care, and wonderful community building events are directly related to the work of CSW.  Invaluable resource to community struggling for identity while facing challenges and changes!",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ", , , , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Participated in sharing updates/info,More than 2 years,Yes,"Our area struggles with very many, very different kinds of issues and organizations.  Many residents and some organizations, and neighborhood initiatives have very limited resources, skills and time to reach out beyond their specific issues.  The CSW can spend the time to know what all is here, see potential joining points and facilitate bringing these together with skill and experience of what might be possible.  The CSW can work on big picture, overall initiatives, plus the valuable info sharing, that would otherwise not occur.  There have already been several significant initiatives to credit this work",Very Satisfied,This is essentially long term work in a neighborhood with significant challenges.  I hope this continues to be seen as a worthwhile long term investment
1608649466,12/14/2020 14:57:42,469,Service provider, ,BRD,More than 3 years,"I appreciate the connecting work that they do in the community across organizations, residents, businesses, churches, etc, and the way they identify issues that we can be working together on. If I want to share information, or find out what is happening in the area, the CSW is always up to date and easy to reach.",I think there is more cohesion than there would be without them. I have known people who have moved into activism/advocacy because of the support of a CSW. I think they are able to keep a broad view of what is happening in the community and support resident leadership.,Collaborate with other partners and/or residents to identify, , ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services, ,Work to address specific local issues,Other,share our gender/feminist lens on issues,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,No,"We did not, mostly because we have been so busy meeting the needs of our internal community that we have not spent a lot of time connecting externally. We hope to do more in 2021.",More than 2 years,Yes,"I think there is value in having a social worker being present at that level to think strategically about community development in BRD-Riverside. In my experience they are able to bring together more marginalized members of a community that is gentrifying in some ways and connect them to each other, as well as more privileged members of the community. They can create space for conversations that may not otherwise happen.",Very Satisfied,Just a big thank you - I have worked in this area off and on since 2011 and I think the CSW program has just gotten stronger over time. Shout out to CSWs for all the great work they have done in this community!
1608687691,12/30/2020 11:57:43,337,Service provider, ,MULTIPLE,More than 3 years,brings a lot of knowledge to the community.,working for the people., , , , , ,Provide services, , , , ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes, ,Unsure/Not Applicable,Yes, ,Very Satisfied, 
1608648324,12/11/2020 09:38:59,778,Service provider, ,MULTIPLE,6 months to under a year,Amazing. I have worked with three CSW closely. They work so hard and has such a great love and understanding. I am excited everytme I meet them because they are simply magnificent.,"Positivity, collaboration and help in every possible way!",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives, ,Provide services,Support a specific initiative identified by the CSW, , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"GFL meetings, collaborations",Unsure/Not Applicable,Yes,Because they believe in change and work towards it,Very Satisfied,Just want to highlight. They are amazing
1608649484,12/14/2020 15:16:08,356,Other,retired,MULTIPLE,Less than 6 months,"from what I know providing links to resources like the Alex food or health, city classes for adults and kids",I heard of a few that have participated in classes. Liked more for the free product than the experience, , , , , , , , ,Other,communication with the community,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Do Not Agree or Disagree,Disagree,Do Not Agree or Disagree,Agree,No, ,Unsure/Not Applicable,No,Currently engages with person that promote negative and adverse social media,Neutral, 
1608648517,12/11/2020 13:33:08,143,Other,POLICE SERVICE,MULTIPLE,6 months to under a year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608667373,12/16/2020 15:14:39,375,Service provider, ,MULTIPLE,1 to 3 years,"The CSW works closely with local residents to understand their needs, identifies emerging issues and connects the local population and community organizations to services and resources relevant to their needs.","The CSW is able to bring all stakeholders together within the working area to share knowledge, resources and leverage expertise and experience from the perspective of service providers and service receivers.",Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services, ,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,No, ,More than 2 years,Yes, ,Very Satisfied, 
1608667656,12/16/2020 21:05:39,618,Other,Non-profit charity organization,MULTIPLE,More than 3 years,The CSW in the neighbourhood supports the community connections activities that helps to enhance social inclusion,Helps with community connections,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Not Applicable,No, ,Unsure/Not Applicable,Yes,"Value addition, Value proposition and enhanced positive social ties",Very Satisfied, 
1608687432,12/28/2020 20:22:54,422,Church, ,MULTIPLE,More than 3 years,"Off and on. When on, they are very needed, supportive, helpful, and creative. Off and on means we have them and then we don’t. Better when we have them.","Resources, ideas, connections", , , , , , , ,Work to address specific local issues, , ,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Do Not Agree or Disagree,Do Not Agree or Disagree,No, ,More than 2 years,Yes,"More resources, connection, and collaboration",Satisfied, 
1608649089,12/14/2020 08:56:57,371,Service provider, ,MULTIPLE,1 to 3 years,Engaged and informative,Brings  current community events to light as well as aiding to police issues in the communities by informing the communities of concerns,Collaborate with other partners and/or residents to identify, , , , ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Do Not Agree or Disagree,Agree,Strongly Agree,No, ,More than 2 years,Yes,great resource as they have direct contact with community associations as well as the residents and businesses.,Satisfied, 
1608648747,12/12/2020 01:09:52,82,Service provider, ,MULTIPLE,6 months to under a year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608687692,12/30/2020 12:00:04,74,Community Association, ,DNC,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608649106,12/14/2020 09:30:25,72,Service provider, ,DNC,More than 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608687321,12/28/2020 12:00:30,475,City of Calgary Business Unit, ,DNC,6 months to under a year,Working with the CSW through the 9 Block project in the DNC has been fantastic. Her advice and insight into the community has been extremely valuable in creating a program that meets the needs of the community.,"In my experience, the CSW has on the ground experience and knows the neighbourhood, the people and the needs better than almost anyone else. The insight and direction the CSW has provided as part of our steering committee has been invaluable.",Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ", , ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,"Not only has the CSW provided advice and direction as we created a new ambassador program for the area, the CSW was also directly involved in hiring, training and offering ongoing support to the ambassadors. I truly hope we can continue to lean on the expertise provided by the CSW to continue improving the program.",Very Satisfied,JN is incredible! She is such a joy to work with and Im so thankful to have had her as such a willing and contributing member of our team.
1608687388,12/28/2020 15:59:48,301,City of Calgary Business Unit, ,DNC,6 months to under a year,Consultant/Support,A wealth of knowledge and tons of experience dealing with the vulnerable population and people experiencing homelessness,Collaborate with other partners and/or residents to identify, , , , ,Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Do Not Agree or Disagree,Agree,Strongly Agree,Agree,Strongly Agree,No, ,More than 2 years,Yes,Due to guidance and proper identification of crucial training,Very Satisfied, 
1608687404,12/28/2020 17:15:43,263,Service provider, ,DNC,1 to 3 years,Support to community,someone to turn to,Collaborate with other partners and/or residents to identify, , , , ,Provide services, ,Work to address specific local issues, , ,Agree,Do Not Agree or Disagree,Do Not Agree or Disagree,Agree,Do Not Agree or Disagree,Agree,Agree,Do Not Agree or Disagree,Agree,Agree,No, ,More than 2 years,Yes,coordination and network function,Neutral, 
1608649105,12/14/2020 09:30:18,640,City of Calgary Business Unit, ,MULTIPLE,1 to 3 years,They work with people within the area to identify needs and develop initiatives (hopefully resident led) to address them.,"It is really helpful to have someone who can co-ordinate things on a larger, community level, who can share resources and work with you on connecting your clients to the community.  It also brings another perspective when trying to deal with larger issues",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ", ,Support a specific initiative identified by the CSW, , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Just trying to connect people to resources that were available eg. computers.  I feel we work well together and share the responsibilities for such initiatives, helping each other where we can.",More than 2 years,Yes,"The impact is something that needs to be measured over time.  some projects will have an immediate impact (eg. food programs) but others such as parenting programs may take longer to see the impact.  Some projects often leads to more needs being identified, and the work continues on.",Very Satisfied, 
1608687375,12/28/2020 15:49:03,69,Service provider, ,DNE,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608688669,01/04/2021 11:13:26,1032,Service provider, ,DNE,1 to 3 years,Supporting residents and various stakeholders to stay connected. Being a great touch point for the neighbourhood. To work collaboratively to support in strengthening community and social ties and an advocate.,CSW is well known throughout the neighbourhood. She is a reliable resource for the residents. I hear this quite often. I think that residents know that someone is there and values community and balance. I think this role of the CSW really adds to the quality of ones neighbourhood. The role in a lot of ways acts as a catalyst for residents to really participate in community.,Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,"We have partnered with CSW a lot. CSW has now been supporting work in DNE and BRD. She continues to connect residents to our resources and play a major role.  She has been instrumental in connecting us with Fresh Routes and other stakeholders. But no specific initiatives were developed per se out of the pandemic, but I think thats because we were fully staffed and able to cover a lot of the work needing to happen in DNE.",More than 2 years,Yes,"I the role of the CSW is a beautiful and essential role in community. More than ever we are seeing the importance of staying connected. Of thinking about more than just what services can be provided but rather empowering communities to come together. It is far more sustainable and can be felt deeply.  THE CSW as I said is a catalyst of support, initiatives, advocacy, thinking differently about our community. I, as a professional have grown immensely in being able to work alongside CSW.  She has a beautiful fearlessness in doing the right thing even when its hard!",Very Satisfied,"I think the partnership between carya and the City has felt incredibly strong over the last year or so. I think there is a lot of collaboration, understanding of each others work and goals and really working together. I think a lot of this is a testament to CSWs ability to really believe in the power of connection. She has been so incredibly good at ensuring that people are connected where needed, that conversations remain open and at maintaining relationships.  CSW is a gem of a human being and as a colleague. We feel so lucky to have her presence in DNE."
